Galaxy,Blaster,Rebel,ManaReaver,Demolitionist,Cybernetic,Infiltrator,StarGuardian,Paragon,Sniper,Set3_Celestial,MechPilot,Set3_Sorcerer,Astro,Chrono,Battlecast,Set3_Brawler,SpacePirate,DarkStar,Vanguard,Starship,Mercenary,Protector,Set3_Mystic,Set3_Blademaster,DamageToPlayer,Top4,Win
Galactic Armory,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,85,TRUE,FALSE
Binary Star,Tier 1,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,184,TRUE,FALSE
Trade Sector,Tier 1,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,57,FALSE,FALSE
Normal,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,76,FALSE,FALSE
Treasure Trove,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,169,TRUE,TRUE
Plunder Planet,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,118,TRUE,FALSE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,49,FALSE,FALSE
Galactic Armory,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,159,TRUE,FALSE
Little Legend,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,135,TRUE,FALSE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,172,TRUE,FALSE
Binary Star,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,157,TRUE,FALSE
Salvage World,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 3,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,102,FALSE,FALSE
Galactic Armory,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 2,164,TRUE,TRUE
Little Legend,Tier 1,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,130,TRUE,FALSE
Binary Star,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,55,FALSE,FALSE
Normal,Tier 1,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 2,Tier 0,Tier 1,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,195,TRUE,TRUE
Normal,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 3,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,181,TRUE,TRUE
Trade Sector,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,207,TRUE,TRUE
SuperDense,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,23,FALSE,FALSE
Trade Sector,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,200,TRUE,TRUE
Normal,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 2,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,104,TRUE,FALSE
Trade Sector,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,148,TRUE,FALSE
Galactic Armory,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,124,TRUE,FALSE
Normal,Tier 0,Tier 3,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,213,TRUE,TRUE
Trade Sector,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 3,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,52,FALSE,FALSE
Little Legend,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,89,TRUE,FALSE
Manatee's Delight,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,196,TRUE,TRUE
Trade Sector,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,160,TRUE,TRUE
Treasure Trove,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,85,TRUE,FALSE
Trade Sector,Tier 1,Tier 2,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,93,TRUE,FALSE
Galactic Armory,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,68,TRUE,FALSE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,64,FALSE,FALSE
Trade Sector,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,48,FALSE,FALSE
Treasure Trove,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,93,FALSE,FALSE
Galactic Armory,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,194,TRUE,TRUE
Trade Sector,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,148,TRUE,FALSE
SuperDense,Tier 1,Tier 2,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,80,FALSE,FALSE
Galactic Armory,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,152,TRUE,FALSE
Plunder Planet,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,68,FALSE,FALSE
Binary Star,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,60,FALSE,FALSE
Trade Sector,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 3,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,105,FALSE,FALSE
Normal,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,91,FALSE,FALSE
Galactic Armory,Tier 1,Tier 2,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,126,TRUE,FALSE
Treasure Trove,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,111,TRUE,FALSE
Little Legend,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,121,TRUE,FALSE
Little Legend,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,68,FALSE,FALSE
Treasure Trove,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 1,140,TRUE,FALSE
Trade Sector,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,33,FALSE,FALSE
Normal,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,123,TRUE,FALSE
Normal,Tier 1,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,68,FALSE,FALSE
Binary Star,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 3,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,176,TRUE,TRUE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,67,TRUE,FALSE
Little Legend,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,59,FALSE,FALSE
Normal,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,75,TRUE,FALSE
Normal,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,70,FALSE,FALSE
Galactic Armory,Tier 1,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,71,FALSE,FALSE
Salvage World,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,112,FALSE,FALSE
Normal,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,80,FALSE,FALSE
Trade Sector,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,138,TRUE,FALSE
Galactic Armory,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,186,TRUE,TRUE
Normal,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,93,FALSE,FALSE
Galactic Armory,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 3,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,74,TRUE,FALSE
Little Legend,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,49,FALSE,FALSE
Salvage World,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 1,Tier 0,160,TRUE,FALSE
Normal,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,114,TRUE,FALSE
Little Legend,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,125,FALSE,FALSE
Normal,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,95,TRUE,FALSE
Treasure Trove,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 1,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,93,TRUE,FALSE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 2,137,TRUE,FALSE
Salvage World,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,228,TRUE,TRUE
Normal,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,25,FALSE,FALSE
SuperDense,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,64,FALSE,FALSE
SuperDense,Tier 1,Tier 2,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,73,TRUE,FALSE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,111,TRUE,FALSE
Salvage World,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,137,TRUE,FALSE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 1,Tier 2,Tier 0,Tier 0,Tier 1,Tier 2,Tier 0,100,TRUE,FALSE
Normal,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,62,FALSE,FALSE
SuperDense,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,117,TRUE,FALSE
Treasure Trove,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,67,FALSE,FALSE
Trade Sector,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,132,TRUE,FALSE
Normal,Tier 1,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,156,TRUE,TRUE
Star Cluster,Tier 1,Tier 2,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,121,TRUE,FALSE
Normal,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 0,Tier 0,Tier 2,Tier 0,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,227,TRUE,TRUE
SuperDense,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 1,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,207,TRUE,TRUE
Galactic Armory,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 2,Tier 1,Tier 0,Tier 1,Tier 0,Tier 2,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 0,Tier 1,Tier 1,Tier 0,165,TRUE,FALSE
